c0,p0,p1,p2,p3,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_blosc-9.json,13,4,1,3,-0.0180306,123.32572484016418,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,40,1,2,4,-0.0195611,123.33080530166626,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,12,3,3,3,-0.0190875,123.8346049785614,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,30,2,2,2,-0.0177208,124.28501057624817,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,47,3,2,4,-0.0216726,218.53185033798218,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,25,1,2,3,-0.0210159,225.92675876617432,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,58,2,3,2,-0.0191107,231.48538041114807,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,19,3,3,1,-0.0127296,279.24442076683044,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,42,4,3,4,-0.0194693,321.5418794155121,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,42,4,1,4,-0.0189593,331.3477828502655,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,36,3,2,4,-0.0190491,337.1517684459686,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,47,2,2,4,-0.0193378,389.97171926498413,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,43,2,4,4,-0.0181038,436.7784352302551,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,42,3,2,4,-0.0188537,441.4513785839081,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,42,3,1,4,-0.0182599,445.83466029167175,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,54,1,2,4,-0.0186847,500.5185739994049,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,58,1,2,4,-0.0186943,550.6853861808777,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,50,1,2,3,-0.018611,554.3647000789642,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,47,1,2,4,-0.0185003,555.7384569644928,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,49,2,2,4,-0.0185728,609.3767144680023,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,48,3,2,4,-0.018303,660.7667746543884,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,46,4,2,4,-0.0180984,662.1193222999573,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,47,4,2,4,-0.0178229,666.9006979465485,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,46,3,2,4,-0.0188626,716.7386229038239,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,47,3,1,4,-0.0190249,769.5942528247833,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,57,3,2,3,-0.0184031,772.0393855571747,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,47,3,4,4,-0.0181049,777.6833024024963,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,47,3,2,3,-0.0185334,827.4899406433105,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,47,3,3,4,-0.018808,880.6216192245483,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,47,3,1,3,-0.0186946,884.359580039978,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,47,1,1,3,-0.018519,888.403327703476,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,47,1,1,4,-0.0186165,936.8198220729828,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,41,3,1,4,-0.0191107,991.8064141273499,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,47,2,1,4,-0.0190364,994.0818402767181,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,59,3,1,4,-0.0191472,999.3592972755432,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,48,3,1,4,-0.0185803,1046.7596502304077,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,46,1,1,4,-0.0184646,1099.7898783683777,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,55,3,1,4,-0.0186119,1106.5184767246246,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,60,3,1,4,-0.0179477,1113.6546766757965,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,56,3,1,4,-0.0178856,1157.100450515747,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,54,3,1,4,-0.0192016,1211.5306298732758,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,56,3,2,4,-0.0186264,1221.0865805149078,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,57,2,2,4,-0.0190055,1224.6453630924225,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,53,1,2,4,-0.0193128,1264.2824733257294,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,54,3,2,4,-0.0190902,1321.1163301467896,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,52,3,2,4,-0.0194382,1329.9209613800049,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,55,1,4,4,-0.0195396,1334.6824886798859,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,52,1,2,4,-0.0186905,1375.426561832428,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,52,2,2,4,-0.0193244,1431.8436613082886,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,53,3,2,4,-0.0182775,1442.7217900753021,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,53,2,2,4,-0.0187263,1442.7666084766388,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,52,3,2,3,-0.0182611,1486.1257224082947,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,52,3,3,4,-0.0187263,1545.9957189559937,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,52,1,2,3,-0.0183799,1554.7194712162018,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,52,2,3,4,-0.0175281,1555.031485080719,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,54,1,3,4,-0.0189251,1596.1738278865814,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,54,2,3,4,-0.0183182,1656.2216992378235,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,54,3,4,4,-0.0177736,1666.6725223064423,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,59,3,3,3,-0.0188593,1667.9953210353851,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,55,1,3,4,-0.0187616,1705.9252285957336,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,56,1,3,4,-0.0189554,1765.930106163025,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,59,3,3,4,-0.0192975,1776.7910377979279,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,55,3,4,4,-0.018339,1777.7264213562012,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,58,1,3,4,-0.0199455,1811.045117855072,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,60,2,3,4,-0.0196379,1879.6279520988464,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,58,2,2,4,-0.020368,1880.5121583938599,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,58,1,3,3,-0.0211106,1903.5617592334747,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,58,1,3,1,-0.0128045,1917.2655839920044,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,58,2,3,4,-0.0190692,1985.7752711772919,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,58,2,4,4,-0.0185104,1989.2619960308075,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,58,2,3,3,-0.0181151,2013.3869383335114,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,58,3,2,4,-0.0186549,2023.7652416229248,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,58,2,1,4,-0.0187961,2099.1382546424866,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,58,4,2,4,-0.0182781,2100.2151839733124,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,59,1,2,4,-0.0190543,2121.64302611351,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,58,1,2,3,-0.018832,2132.1235654354095,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,60,2,2,4,-0.0180827,2213.5049860477448,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,59,2,2,4,-0.0182652,2214.080796480179,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,60,1,2,4,-0.0188,2229.270806312561,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,59,1,3,4,-0.018687,2240.833217859268,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,59,2,3,4,-0.0179815,2325.921797513962,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,60,2,3,3,-0.01808,2328.3578329086304,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,59,4,3,4,-0.0182438,2337.9382581710815,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,60,3,3,4,-0.0194597,2352.5015852451324,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,60,1,3,4,-0.018868,2434.7305011749268,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,60,1,3,3,-0.0187849,2438.388022184372,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,60,2,1,3,-0.0181154,2452.3638565540314,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,60,4,3,4,-0.0184897,2463.867288351059,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,60,4,4,4,-0.0199749,2542.2308650016785,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,60,3,4,4,-0.0190061,2549.4975669384003,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,60,3,2,4,-0.0192366,2561.326765060425,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,58,1,4,4,-0.0190595,2574.130975961685,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,60,3,4,3,-0.0183944,2656.203939437866,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,60,1,4,4,-0.0191945,2657.2825751304626,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,58,3,4,4,-0.017816,2674.497227191925,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,60,2,4,4,-0.0182761,2684.748325109482,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,60,1,4,3,-0.0189377,2767.6960339546204,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,60,4,4,3,-0.0186488,2768.0719759464264,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,60,2,4,3,-0.0182012,2783.1627221107483,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,36,1,4,3,-0.0188525,2793.126541852951,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,58,1,4,3,-0.0200581,2878.613034963608,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,40,3,4,3,-0.0186073,2881.7772164344788,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,36,3,3,4,-0.019329,2893.4729611873627,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,37,1,3,4,-0.0186099,2905.540093898773,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,38,1,2,3,-0.0184017,2989.6768486499786,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,38,1,2,4,-0.0186669,2994.0715448856354,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,25,1,1,4,-0.0185555,3005.2868478298187,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,32,1,2,3,-0.019417,3017.90309548378,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,35,1,2,4,-0.0183477,3100.855622768402,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,35,1,4,3,-0.0184213,3107.386374950409,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,28,1,2,4,-0.0187757,3117.3531107902527,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,27,1,2,3,-0.0188362,3129.722862482071,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,33,3,2,4,-0.0185296,3214.2265853881836,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,33,1,4,3,-0.019027,3216.9522893428802,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,29,1,2,3,-0.0188555,3230.0789365768433,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,28,1,4,4,-0.0193871,3240.6980686187744,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,28,1,2,3,-0.0180165,3327.4804344177246,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,30,3,2,4,-0.0186293,3330.981038093567,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,31,1,4,3,-0.0185691,3338.8079500198364,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,28,1,1,4,-0.0185351,3349.7811839580536,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,29,1,2,4,-0.018746,3434.849680662155,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,27,1,1,4,-0.0184649,3447.7285606861115,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,24,2,2,4,-0.0189473,3447.7388894557953,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,29,3,3,4,-0.0190034,3459.2163455486298,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,26,1,2,4,-0.0194931,3541.8013763427734,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,25,1,2,4,-0.0187793,3559.2666959762573,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,26,1,2,3,-0.0190991,3560.5847725868225,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,25,1,3,3,-0.0194642,3571.6133172512054,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,26,1,1,3,-0.0187055,3654.1407516002655,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,26,1,1,4,-0.0182079,3671.410172700882,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,26,1,3,3,-0.0187463,3671.47648024559,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,26,3,2,3,-0.0189161,3680.454941034317,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,26,2,2,3,-0.0192854,3764.5550258159637,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,26,1,3,4,-0.0193009,3782.775960445404,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,26,1,4,3,-0.0188829,3784.0028007030487,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,26,4,2,3,-0.0192872,3792.9105894565582,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,26,4,2,4,-0.0185725,3875.656413793564,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,23,4,3,4,-0.0190774,3894.436350107193,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,36,4,3,4,-0.0188347,3896.2533009052277,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,38,4,3,4,-0.0186564,3905.826265335083,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,40,4,3,4,-0.0194101,3992.5573711395264,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,25,4,3,3,-0.0192369,4002.829604625702,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,26,4,3,4,-0.01881,4005.9871501922607,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,27,4,3,4,-0.0190443,4016.017897605896,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,28,4,3,4,-0.019454,4098.742824792862,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,24,4,3,3,-0.0186555,4114.03990483284,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,25,4,3,4,-0.0182246,4116.086898326874,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,25,4,2,3,-0.0184298,4124.141194343567,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,25,4,2,4,-0.0183131,4209.701164960861,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,25,3,2,4,-0.018462,4224.192181825638,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,25,2,2,4,-0.0182935,4225.485722541809,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,24,1,2,4,-0.0186061,4234.246835947037,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,25,1,4,4,-0.0187234,4315.362986087799,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,25,1,4,3,-0.0186337,4334.751976251602,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,24,1,2,3,-0.0190434,4344.132870912552,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,22,1,2,3,-0.0218047,4411.94536781311,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,23,1,2,4,-0.0225235,4429.381372213364,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,24,1,1,3,-0.0220682,4437.700872421265,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,23,1,2,3,-0.0225294,4505.514177322388,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,21,1,2,3,-0.022708,4523.004786729813,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,25,1,1,3,-0.0184829,4527.472503423691,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,23,1,1,4,-0.0207242,4535.53177022934,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,22,1,2,4,-0.0177101,4625.145401954651,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,22,1,4,4,-0.0168877,4647.5792100429535,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,23,1,3,4,-0.0165549,4650.6155824661255,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,22,2,1,3,-0.0169993,4664.696257829666,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,23,1,4,3,-0.0187163,4741.02591919899,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,23,2,2,3,-0.0189374,4767.2967166900635,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,23,1,1,3,-0.0182438,4768.824293136597,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,23,1,2,1,-0.01083,4840.976557016373,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,23,1,3,3,-0.0188009,4856.054490566254,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,23,3,2,3,-0.0184518,4888.268124341965,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,23,1,2,2,-0.0176799,4892.5404896736145,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,23,4,2,3,-0.0167105,4967.983006477356,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,4,3,2,3,-0.0171646,4986.114740848541,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,9,1,2,3,-0.0168899,5011.310128688812,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,20,1,2,3,-0.0169364,5018.239341497421,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,21,1,1,3,-0.0171869,5097.18209195137,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,21,1,2,4,-0.0171866,5110.802361011505,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,21,4,4,4,-0.0178001,5137.107100009918,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,20,1,3,3,-0.0175058,5146.643636226654,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,21,1,1,4,-0.0163025,5226.8421494960785,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,21,2,2,3,-0.0165148,5237.851716518402,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,21,1,3,3,-0.0163532,5260.90475320816,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,21,3,2,3,-0.01619,5273.295660972595,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,21,1,2,2,-0.0158917,5357.153751850128,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,21,2,4,3,-0.0164493,5363.89906001091,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,21,4,2,3,-0.0170281,5386.026683330536,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,21,4,1,3,-0.0172522,5398.498325109482,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,11,4,2,3,-0.0161484,5480.95561504364,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,21,4,3,3,-0.0163021,5490.606992006302,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,21,4,2,4,-0.0161777,5511.538371324539,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,13,4,2,3,-0.0163085,5525.869807720184,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,20,4,1,3,-0.0170902,5607.273751735687,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,12,4,1,3,-0.0176134,5619.647815942764,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,20,4,3,4,-0.0170812,5637.450136899948,polaris-gpu,2,64,4,True,2,4
